category,items_in_on_time_reviewed_orders,avg_review_score,low_review_rate_pct
office_furniture,1508,3.61,22.41
fashion_male_clothing,118,3.86,22.03
fixed_telephony,242,3.82,21.07
home_confort,383,4.01,16.19
construction_tools_safety,172,4.04,15.7
unknown,1384,4.1,15.1
furniture_decor,7407,4.08,14.7
bed_bath_table,9938,4.05,14.67
home_construction,543,4.06,14.55
audio,313,4.11,14.38
costruction_tools_garden,215,4.19,13.95
computers_accessories,7025,4.11,13.92
air_conditioning,274,4.13,13.5
furniture_living_room,453,4.07,13.25
telephony,4039,4.12,12.38
