customer_state,orders,late_delivery_rate_pct,avg_review_score,low_review_rate_pct
AL,394,23.35,3.85,21.07
MA,712,19.24,3.83,19.94
SE,334,14.97,3.91,18.86
RJ,12211,13.29,3.97,18.29
PA,933,11.9,3.91,17.9
CE,1273,15.24,3.94,17.12
BA,3229,13.72,3.93,17.03
PI,471,15.92,3.99,16.14
PB,512,10.74,4.08,14.84
PE,1579,10.64,4.08,14.82
ES,1969,11.88,4.08,13.76
MS,699,11.59,4.16,13.3
GO,1946,7.97,4.1,13.1
DF,2070,7.1,4.13,13.04
SC,3519,9.63,4.13,13.02
RN,471,10.62,4.15,12.95
MT,879,6.6,4.15,12.74
TO,273,12.82,4.15,12.09
RO,242,2.89,4.17,11.98
RS,5326,7.1,4.19,11.89
MG,11285,5.51,4.19,11.71
PR,4900,4.92,4.24,10.84
SP,40266,5.83,4.25,10.64
