seller_id,delivered_orders,on_time_orders,avg_review_score,low_review_rate_pct,late_delivery_rate_pct,on_time_low_review_rate_pct
1ca7077d890b907f89be8c954a02686a,107,84,2.39,59.81,21.5,55.95
2eb70248d66e0e3ef83659f71b244378,184,159,2.79,47.28,13.59,44.03
972d0f9cf61b499a4812cf0bfa3ad3c4,79,70,3.03,41.77,11.39,37.14
710e3548e02bc1d2831dfc4f1b5b14d4,130,125,3.43,30.77,3.85,30.4
bbad7e518d7af88a0897397ffdca1979,67,56,3.18,40.3,16.42,30.36
a49928bcdf77c55c6d6e05e09a9b4ca5,96,71,3.03,40.62,26.04,29.58
8444e55c1f13cd5c179851e5ca5ebd00,92,86,3.37,32.61,6.52,29.07
712e6ed8aa4aa1fa65dab41fed5737e4,76,60,3.39,35.53,21.05,28.33
5058e8c1e82653974541e83690655b4a,61,53,3.25,31.15,13.11,28.3
6fd52c528dcb38be2eea044946b811f8,66,57,3.39,36.36,13.64,26.32
95f83f51203c626648c875dd41874c7f,50,47,3.7,28.0,6.0,25.53
3c7c4a49ec3c6550809089c6a2ca9370,139,128,3.69,27.34,7.91,25.0
a7f13822ceb966b076af67121f87b063,72,68,3.4,27.78,5.56,25.0
229c3efbfb0ea2058de4ccdfbc3d784a,117,115,3.62,25.64,1.71,24.35
88460e8ebdecbfecb5f9601833981930,245,198,3.44,30.2,19.18,23.23
18a349e75d307f4b4cc646a691ed4216,108,101,3.6,26.85,6.48,22.77
5343d0649eca2a983820bfe93fc4d17e,69,62,3.87,23.19,10.14,22.58
7040e82f899a04d1b434b795a43b4617,206,186,3.65,25.73,9.71,21.51
f46490624488d3ff7ce78613913a7711,80,70,3.76,23.75,12.5,21.43
609e1a9a6c2539919b8205cf7c4e6ff0,85,84,3.81,21.18,1.18,21.43
